Time,HeartRate,BodyTemp,EnvTemp,Humidity
2026-03-17 14:41:19.911415,106.0,36.56,32.9,67.2
2026-03-17 14:41:22.924041,110.0,36.56,32.9,67.2
2026-03-17 14:41:25.937016,106.0,36.56,32.9,67.2
2026-03-17 14:41:28.952152,110.0,36.56,32.9,67.2
2026-03-17 14:41:31.965141,93.0,36.56,32.9,67.3
2026-03-17 14:41:34.979397,106.0,36.56,32.9,67.3
2026-03-17 14:41:37.991383,124.0,36.56,32.9,67.3
2026-03-17 14:41:41.004677,114.0,36.63,32.9,67.4
2026-03-17 14:41:44.019507,102.0,36.63,32.9,67.4
2026-03-17 14:41:47.034615,99.0,36.56,32.9,67.4
2026-03-17 14:41:50.046985,106.0,36.63,32.9,67.4
2026-03-17 14:41:53.058785,106.0,36.63,32.9,67.4
2026-03-17 14:41:56.072720,93.0,36.63,32.9,67.5
2026-03-17 14:41:59.086785,102.0,36.63,32.9,67.6
2026-03-17 14:42:02.099856,110.0,36.63,32.9,67.6
2026-03-17 14:42:05.113210,99.0,36.63,32.9,67.6
2026-03-17 14:42:08.126067,103.0,36.63,32.9,67.5
2026-03-17 14:42:11.142405,110.0,36.63,32.9,67.5
2026-03-17 14:42:14.152177,90.0,36.63,32.9,67.5
2026-03-17 14:42:17.165980,0.0,36.63,32.9,67.6
2026-03-17 14:42:20.179157,0.0,36.63,32.9,67.5
2026-03-17 14:42:23.191297,0.0,36.63,32.9,67.5
2026-03-17 14:42:26.204358,0.0,36.63,32.9,67.5
2026-03-17 14:42:29.219322,0.0,36.63,32.9,67.5
2026-03-17 14:42:32.231195,0.0,36.63,32.9,67.6
2026-03-17 14:42:35.244552,0.0,36.56,32.9,67.5
2026-03-17 14:42:38.258599,0.0,36.5,32.9,67.5
2026-03-17 14:42:41.270633,0.0,36.5,32.9,67.5
2026-03-17 14:42:44.284528,0.0,36.44,32.9,67.6
2026-03-17 14:42:47.297621,0.0,36.44,32.9,67.6
2026-03-17 14:42:50.310695,0.0,36.44,32.9,67.7
2026-03-17 14:42:53.322767,0.0,36.44,32.9,67.7
2026-03-17 14:42:56.337879,0.0,36.44,32.9,67.7
2026-03-17 14:42:59.352894,0.0,36.44,32.9,67.6
2026-03-17 14:43:02.365091,0.0,36.38,32.9,67.6
2026-03-17 14:43:05.378118,0.0,36.44,32.9,67.7
2026-03-17 14:43:08.392134,0.0,36.38,32.9,67.7
2026-03-17 14:43:11.404020,0.0,36.44,32.9,67.6
2026-03-17 14:43:14.417279,0.0,36.44,33.0,67.6
2026-03-17 14:43:17.432385,0.0,36.44,33.0,67.7
2026-03-17 14:44:44.076468,0.0,36.25,33.1,68.2
2026-03-17 14:44:47.089150,40.0,36.25,33.1,68.2
2026-03-17 14:44:50.104215,55.0,36.25,33.1,68.3
2026-03-17 14:44:53.116359,135.0,36.25,33.1,68.3
2026-03-17 14:44:56.131483,129.0,36.25,33.1,68.4
